month,finance_revenue_inr,pipeline_revenue_inr,difference_inr,explanation,recommendation
2024-01,38446071.33,38446071.33,0.00,matches,no action
2024-02,34887085.55,34887085.55,0.00,matches,no action
2024-03,42457899.09,41971649.09,486250.00,definition: finance includes institutional order outside tills,take finance total and document the out-of-till invoice
2024-04,37958457.37,37958457.37,0.00,matches,no action
2024-05,41764716.40,41764716.40,0.00,matches,no action
2024-06,38987082.82,38987082.82,0.00,matches,no action
2024-07,40527291.81,40295160.11,232131.70,source gap: S07 exports missing for 2024-07-09 through 2024-07-11,take finance total until the missing-store source is recovered
2024-08,45252181.75,45252181.75,0.00,matches,no action
2024-09,44615037.46,44615037.46,0.00,matches,no action
2024-10,56359195.92,56359195.92,0.00,matches,no action
2024-11,51583838.47,51583838.47,0.00,matches,no action
2024-12,50745209.00,50745259.48,-50.48,definition: finance rounds each bill to whole rupees,take finance total because it is the signed-off accounting definition
